x,y,z
-0.1347035,0.7039362,4.628985
-0.1220365,0.6932493,4.6361
-0.1132078,0.6837062,4.649662
-0.1085734,0.6697484,4.670767
-0.09853268,0.6609862,4.697916
-0.07929873,0.6637087,4.731411
-0.06021452,0.6713415,4.772741
-0.04189491,0.6729448,4.807935
-0.02206945,0.6740485,4.837804
0.003777504,0.6716195,4.856903
0.02400208,0.6628683,4.866461
0.02038074,0.6542268,4.884013
-0.007335186,0.6406878,4.915365
-0.02807951,0.6175559,4.93407
-0.03408957,0.6025465,4.943856
-0.02164769,0.5992867,4.955319
0.002243519,0.6017104,4.97722
0.03968644,0.6047376,4.991674
0.0696137,0.6012766,5.000123
0.08142328,0.5940896,5.015103
0.07409215,0.5809664,5.039171
0.06106257,0.5688354,5.050566
0.05558634,0.5660663,5.050878
0.05928421,0.5669301,5.050211
0.07328653,0.567254,5.057532
0.09403872,0.5647317,5.075746
0.1161695,0.5521381,5.098414
0.1192153,0.5342554,5.125285
0.1133199,0.5136123,5.148137
0.09560132,0.4974349,5.159401
0.08903074,0.4910689,5.16546
0.09839725,0.4995019,5.167524
0.121907,0.507026,5.181142
0.1575766,0.5105556,5.20284
0.2014341,0.5098347,5.221457
0.237783,0.5005549,5.23097
0.2554522,0.4834169,5.243055
0.2554212,0.4600886,5.261731
0.2378595,0.432762,5.282226
0.2187414,0.4027305,5.294446
0.1998128,0.364668,5.302299
0.182058,0.3304785,5.302675
0.1699091,0.3200663,5.304964
0.1754361,0.3402225,5.305552
0.1783358,0.3490449,5.309944
0.1799334,0.356728,5.315484
0.2099382,0.3714734,5.317575
0.2259318,0.3699573,5.31433
0.2229959,0.3610836,5.312585
0.1941181,0.3385703,5.319672
0.1638161,0.318494,5.318873
0.1381837,0.3023573,5.310471
0.124525,0.2886977,5.304747
0.129191,0.2907459,5.302963
0.1401559,0.3086271,5.310661
0.1612884,0.3350366,5.315273
0.1795961,0.3627489,5.314866
0.1893915,0.386201,5.309255
0.1934316,0.4088059,5.298597
0.1927409,0.4254449,5.289276
0.1835389,0.4392036,5.280543
0.1617627,0.449986,5.274639
0.1370347,0.4612702,5.265275
0.1149592,0.4758275,5.252144
0.1004708,0.4942172,5.23911
0.09671307,0.5213808,5.223413
0.09692645,0.5538321,5.205758
0.09288788,0.5841437,5.183328
0.07969284,0.6115947,5.157988
0.0625658,0.6359249,5.129615
0.04436302,0.6589931,5.098473
0.0228622,0.6787115,5.064608
0.004757881,0.6974781,5.028772
-0.006514788,0.716419,4.994495
-0.01356292,0.7358599,4.959203
-0.01993036,0.7526868,4.924033
-0.02850199,0.7662726,4.887017
-0.03735733,0.7761977,4.850503
-0.04812336,0.7821625,4.813997
-0.06001163,0.7831669,4.780366
-0.07313609,0.7822347,4.750908
-0.08578539,0.7771371,4.725161
-0.09788179,0.7689906,4.702746
-0.1068368,0.7559722,4.689002
-0.1137276,0.7479766,4.688044
-0.1165733,0.7437997,4.69805
-0.1066685,0.7443773,4.71395
-0.09681988,0.7461455,4.734737
-0.0863297,0.7494991,4.760917
-0.07288599,0.751668,4.793582
-0.06072497,0.7510999,4.824757
-0.04665899,0.7479382,4.853896
-0.03022051,0.7417493,4.883102
-0.01369238,0.7329515,4.909548
0.002332926,0.7205945,4.937265
0.01500821,0.7058312,4.967306
0.03060818,0.6843582,5.000113
0.0460453,0.6544515,5.032303
0.05810738,0.6201227,5.060108
0.06710243,0.5762959,5.079423
0.07606459,0.5337709,5.085629
0.08896184,0.5210735,5.087654
0.1015532,0.5434285,5.08864
0.09517837,0.5844472,5.082715
0.08956003,0.6032675,5.074531
0.08315063,0.6132216,5.079507
0.0857091,0.6122382,5.083378
0.08520651,0.6054345,5.091388
0.08776808,0.5987894,5.10168
0.0917387,0.5918753,5.106097
0.1027939,0.551046,5.142316
0.1158619,0.5175315,5.160381
0.1287799,0.4992772,5.171521
0.1382976,0.496137,5.17642
0.140965,0.5079692,5.182767
0.136822,0.5119177,5.192496
0.1370542,0.5124997,5.190639
0.1368928,0.5090349,5.193711
0.1364741,0.5053747,5.198226
0.136261,0.4972233,5.203197
0.1382866,0.487743,5.207673
0.1433992,0.475751,5.210447
0.1450601,0.4626901,5.217515
0.1519573,0.4489639,5.21895
0.1578705,0.4249859,5.225706
0.1693082,0.4051152,5.232173
0.1787121,0.4082525,5.235972
0.1753101,0.4222679,5.247043
0.1715274,0.4314737,5.255313
0.1674347,0.4293976,5.260721
0.1623755,0.4173058,5.267398
0.1650403,0.398936,5.271469
0.1799316,0.3754815,5.281853
0.2149777,0.3598999,5.280116
